USGS_ID,bimodal
11102300,FALSE
02264000,FALSE
06470800,FALSE
08053500,FALSE
10257550,FALSE
07303000,FALSE
09537200,FALSE
11042000,FALSE
07311800,FALSE
11120000,FALSE
09510200,TRUE
08190500,FALSE
09468500,FALSE
06828500,FALSE
08068720,FALSE
09401260,FALSE
07170700,FALSE
11059300,FALSE
07314500,FALSE
07116500,FALSE
11151700,FALSE
06866900,FALSE
08194500,FALSE
02266200,FALSE
08110430,FALSE
11180700,FALSE
05060500,FALSE
06354882,FALSE
08044000,FALSE
10258000,FALSE
08382500,FALSE
07234000,TRUE
09508300,FALSE
06821500,FALSE
11046000,FALSE
02303350,FALSE
08123800,FALSE
06400000,FALSE
06871000,FALSE
11069500,FALSE
01311500,FALSE
08083100,FALSE
10257600,FALSE
11133000,FALSE
06441500,FALSE
11452500,FALSE
08110325,FALSE
06860000,TRUE
09166950,FALSE
11062000,FALSE
11159200,FALSE
09498503,TRUE
08127000,FALSE
09426620,FALSE
08172400,FALSE
09386030,TRUE
08382600,FALSE
11128500,FALSE
11216400,TRUE
11025500,TRUE
02291580,TRUE
11152300,FALSE
11136800,TRUE
11124500,TRUE
11180960,TRUE
07141780,FALSE
11015000,TRUE
09291000,TRUE
08042800,FALSE
02216180,FALSE
08205500,TRUE
02294491,TRUE
08086212,TRUE
06471200,TRUE
09484000,FALSE
11148900,TRUE
11028500,TRUE
10257720,TRUE
06440200,TRUE
11284400,TRUE
07154500,TRUE
11152500,TRUE
02309848,TRUE
07315200,TRUE
11014000,TRUE
09378630,FALSE
06425100,TRUE
08086290,TRUE
08178700,FALSE
06847500,TRUE
06862850,TRUE
11176400,TRUE
08134000,TRUE
06425500,TRUE
02236900,TRUE
06827500,TRUE
08103900,TRUE
11299600,TRUE
07141900,TRUE
10259200,TRUE
12513000,TRUE
08194000,TRUE
02303400,TRUE
06848500,TRUE
11143250,TRUE
08353000,FALSE
11274630,TRUE
05123400,TRUE
11123500,TRUE
08193000,TRUE
11149900,TRUE
11493500,TRUE
11075800,TRUE
11128250,TRUE
11046530,TRUE
06400875,TRUE
08050800,TRUE
13058000,TRUE
08156800,FALSE
08128400,TRUE
09386950,TRUE
08334000,TRUE
08079600,FALSE
11253310,TRUE
06844900,TRUE
11158600,TRUE
11224500,TRUE
06879650,TRUE
09512280,TRUE
11147500,TRUE
10260950,TRUE
09485000,TRUE
02266205,TRUE
13132500,TRUE
10258500,TRUE
08194200,FALSE
11180500,TRUE
11097000,TRUE
08189200,FALSE
08155300,TRUE
09513780,TRUE
11152600,TRUE
08317950,FALSE
11123000,TRUE
08390500,TRUE
07141200,TRUE
13112000,TRUE
07314900,FALSE
11119500,FALSE
08390800,FALSE
09505350,FALSE
11119940,FALSE
11078000,FALSE
08082700,FALSE
11065000,FALSE
09424900,FALSE
11274500,FALSE
13132520,FALSE
11042800,FALSE
07140850,FALSE
11075720,FALSE
07226500,FALSE
11140000,FALSE
06423010,FALSE
02263869,FALSE
11119750,FALSE
08181400,FALSE
13132535,FALSE
11085000,FALSE
06846500,FALSE
07155590,FALSE
10287770,FALSE
09423350,FALSE
08197500,FALSE
11042900,FALSE
09535100,FALSE
11042631,FALSE
08185000,FALSE
11077500,FALSE
09517490,FALSE
08202700,FALSE
08398500,FALSE
08401200,FALSE
09513860,FALSE
08400000,FALSE
08401900,FALSE
